"y","x1","x2","x3","date","month_factor","fev","mar","abril","maio","jun","jul","ago","set","out","nov","dez","areas"
1007,0,0,0,2018-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Consolidated"
1790,0,0,0,2018-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Consolidated"
878,0,0,0,2018-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Consolidated"
277,0,0,0,2018-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Consolidated"
27,0,0,0,2018-12-01,"Dec",0,0,0,0,0,0,0,0,0,0,1,"Consolidated"
22,0,0,0,2019-01-01,"Jan",0,0,0,0,0,0,0,0,0,0,0,"Consolidated"
58,0,0,0,2019-02-01,"Feb",1,0,0,0,0,0,0,0,0,0,0,"Consolidated"
37,0,0,0,2019-03-01,"Mar",0,1,0,0,0,0,0,0,0,0,0,"Consolidated"
8,0,0,0,2019-04-01,"April",0,0,1,0,0,0,0,0,0,0,0,"Consolidated"
15,0,0,0,2019-05-01,"May",0,0,0,1,0,0,0,0,0,0,0,"Consolidated"
32,0,0,0,2019-06-01,"June",0,0,0,0,1,0,0,0,0,0,0,"Consolidated"
368,0,0,0,2019-07-01,"July",0,0,0,0,0,1,0,0,0,0,0,"Consolidated"
2377,0,0,0,2019-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Consolidated"
1203,0,0,0,2019-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Consolidated"
286,0,0,0,2019-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Consolidated"
319,0,0,0,2019-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Consolidated"
84,0,0,0,2019-12-01,"Dec",0,0,0,0,0,0,0,0,0,0,1,"Consolidated"
112,0,0,0,2020-01-01,"Jan",0,0,0,0,0,0,0,0,0,0,0,"Consolidated"
32,0,0,0,2020-02-01,"Feb",1,0,0,0,0,0,0,0,0,0,0,"Consolidated"
43,0,0,0,2020-03-01,"Mar",0,1,0,0,0,0,0,0,0,0,0,"Consolidated"
10,0,0,0,2020-04-01,"April",0,0,1,0,0,0,0,0,0,0,0,"Consolidated"
10,0,0,0,2020-05-01,"May",0,0,0,1,0,0,0,0,0,0,0,"Consolidated"
85,0,0,0,2020-06-01,"June",0,0,0,0,1,0,0,0,0,0,0,"Consolidated"
834,0,0,0,2020-07-01,"July",0,0,0,0,0,1,0,0,0,0,0,"Consolidated"
2744,0,0,0,2020-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Consolidated"
